"","district","sc","parish","village","messenger","recipient","IVR","sms","head_name","tel_contact"
"1718","MAYUGE","BUKABOOLI","BUKABOOLI","NAMULWANA 'A'","couple","male","yes","yes",NA,NA
"1719","BUGIRI","BUDHAYA","BUDHAYA","NGULUMO","couple","male","no","no",NA,NA
"1720","NAMUTUMBA","NSINZE","NAWAIKONA","BUKUDUMIRA","couple","male","yes","no",NA,NA
"1721","BUGIRI","KAPYANGA","BUGUBO","BUGUBO","couple","male","no","no",NA,NA
"1722","IGANGA","NAKALAMA","NAKALAMA","NAKALAMA SOUTH","couple","male","yes","no",NA,NA
"1723","MAYUGE","KITYERERA","NDAIGA","NDAIGA A","couple","male","yes","yes",NA,NA
"1724","BUGIRI","BUDHAYA","BUKATU","BUDIBYA","couple","male","yes","no",NA,NA
"1725","NAMAYINGO","BANDA","LUGALA","LUGALA B","couple","male","yes","no",NA,NA
"1726","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","BUDUMBA","couple","male","yes","yes",NA,NA
"1727","MAYUGE","BUKATUBE","LWANIKA","LWANIKA B","couple","male","yes","yes",NA,NA
"1728","MAYUGE","KIGANDALO","KIOGA (MAYENGO)","LUKUNYU","couple","male","no","no",NA,NA
"1729","NAMAYINGO","BUYINJA","LWANGOSIA","BUGAYA","couple","male","yes","no",NA,NA
"1730","BUGIRI","BUDHAYA","BUKATU","KAWOLOGOMA","couple","male","yes","no",NA,NA
"1731","MAYUGE","IMANYIRO","MAGADA","NAMAKAKALE","couple","male","no","no",NA,NA
"1732","NAMUTUMBA","KIBAALE","NABWEYO","LWAMBA","couple","male","yes","no",NA,NA
"1733","MAYUGE","KIGANDALO","KIOGA (MAYENGO)","KAZINGA","couple","male","yes","no",NA,NA
"1734","NAMAYINGO","BUYINJA","LWANGOSIA","NSANGO A","couple","male","no","no",NA,NA
"1735","NAMAYINGO","BANDA","LUTOLO","NANGERA A","couple","male","yes","yes",NA,NA
"1736","MAYUGE","BAITAMBOGWE","IGEYERO","IGEYERO A","couple","male","yes","yes",NA,NA
"1737","BUGIRI","KAPYANGA","BUGUBO","NABYUNYU","couple","male","no","no",NA,NA
"1738","NAMAYINGO","BUYINJA","LWANGOSIA","LWANGOSIA WEST","couple","male","yes","no",NA,NA
"1739","BUGIRI","BULUGUYI","MUWAYO","BUTEMA","couple","male","yes","no",NA,NA
"1740","MAYUGE","BUKATUBE","LWANIKA","LWANIKA A","couple","male","no","no",NA,NA
"1741","NAMUTUMBA","KIBAALE","NABWEYO","BUSINI A","couple","male","no","no",NA,NA
"1742","NAMUTUMBA","KIBAALE","NABWEYO","NANVUNANWA","couple","male","no","no",NA,NA
"1743","MAYUGE","BUSAKIRA","MAUMU","MAUMU B","couple","male","yes","no",NA,NA
"1744","IGANGA","BUYANGA","BUWOOYA","BUYANGA A","couple","male","yes","yes",NA,NA
"1745","IGANGA","NAWANDALA","KIWANYI","BUKYEEGA","couple","male","yes","yes",NA,NA
"1746","NAMUTUMBA","MAGADA","KIWANYI","KIWANYI","couple","male","yes","yes",NA,NA
"1747","NAMAYINGO","BANDA","BUJWANGA","BUDUNGA WEST","couple","male","no","no",NA,NA
"1748","NAMUTUMBA","KIBAALE","NAWANGISA","KAVULE","couple","male","no","no",NA,NA
"1749","NAMUTUMBA","MAGADA","KAGULU","BUGIRI","couple","male","no","no",NA,NA
"1750","NAMUTUMBA","NAMUTUMBA","NAKYEERE","BULYABWITA B","couple","male","yes","yes",NA,NA
"1751","MAYUGE","BUKATUBE","LWANIKA","WAMONDO","couple","male","yes","yes",NA,NA
"1752","MAYUGE","WAIRASA","BUSUYI","BUSOWANIRE","couple","male","yes","no",NA,NA
"1753","NAMAYINGO","BANDA","LUTOLO","LUTOLO B","couple","male","yes","yes",NA,NA
"1754","MAYUGE","KIGANDALO","KIGULU","BUYAGA","couple","male","yes","no",NA,NA
"1755","NAMAYINGO","BANDA","BUJWANGA","BUBANGI","couple","male","no","no",NA,NA
"1756","NAMUTUMBA","KIBAALE","NAWANGISA","NAWANGISA II","couple","male","yes","yes",NA,NA
"1757","IGANGA","IBULANKU","NSAALE","NAKASUBI","couple","male","yes","yes",NA,NA
"1758","NAMUTUMBA","MAGADA","KAGULU","NABIGALATA","couple","male","yes","no",NA,NA
"1759","NAMUTUMBA","MAGADA","KIWANYI","NABIYUNGI","couple","male","no","no",NA,NA
"1760","NAMUTUMBA","MAGADA","KAGULU","KISYAIKE","couple","male","yes","no",NA,NA
"1761","BUGIRI","KAPYANGA","NAMUKONGE","BUKAYE B","couple","male","no","no",NA,NA
"1762","IGANGA","MAKUUTU","KASOZI","NONDWE","couple","male","yes","yes",NA,NA
"1763","IGANGA","BULAMAGI","IWAWU","NAMASOGA","couple","male","no","no",NA,NA
"1764","IGANGA","MAKUUTU","KASOZI","WAIBALE","couple","male","yes","no",NA,NA
"1765","NAMUTUMBA","KIBAALE","NAWANGISA","NAWANGISA I","couple","male","yes","yes",NA,NA
"1766","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","MAKUUTU","couple","male","yes","yes",NA,NA
"1767","NAMUTUMBA","NSINZE","NAWAIKONA","WALUMBO","couple","male","yes","yes",NA,NA
"1768","BUGIRI","BUDHAYA","BUDHAYA","BUMWANGU","couple","male","no","no",NA,NA
"1769","IGANGA","BUYANGA","BUWOOYA","BUWOOYA A","couple","male","yes","no",NA,NA
"1770","MAYUGE","WAIRASA","BUSUYI","BUYEMBA","couple","male","yes","no",NA,NA
"1771","NAMAYINGO","BUSWALE","NANSUMA","NANSUMA A","couple","male","yes","yes",NA,NA
"1772","NAMAYINGO","BUSWALE","NANSUMA","SIJAGAJO A","couple","male","yes","yes",NA,NA
"1773","NAMUTUMBA","NSINZE","BUWONGO","BUNYAGWE","couple","male","yes","yes",NA,NA
"1774","NAMAYINGO","BUSWALE","NANSUMA","NANSUMA B","couple","male","no","no",NA,NA
"1775","IGANGA","BUYANGA","BULUNGULI","KIWANYI B","couple","male","yes","no",NA,NA
"1776","IGANGA","NAMALEMBA","MINANI","MINANI B","couple","male","yes","no",NA,NA
"1777","IGANGA","NAKALAMA","NAKALAMA","NAKALAMA CENTRAL","couple","male","no","no",NA,NA
"1778","IGANGA","BUYANGA","BUWOOYA","NASILARO","couple","male","yes","no",NA,NA
"1779","BUGIRI","KAPYANGA","NDIFAKULYA","BUKAYE","couple","male","no","no",NA,NA
"1780","MAYUGE","BUKATUBE","LWANIKA","BUTIMBWA","couple","male","yes","yes",NA,NA
"1781","MAYUGE","IMANYIRO","MAGADA","NAMADUDU","couple","male","no","no",NA,NA
"1782","BUGIRI","BULUGUYI","MUWAYO","NAKAWA","couple","male","yes","no",NA,NA
"1783","NAMAYINGO","BUSWALE","NANSUMA","BUMOLI A","couple","male","yes","no",NA,NA
"1784","IGANGA","BUYANGA","BUWOOYA","BUYIRIMA","couple","male","yes","no",NA,NA
"1785","NAMUTUMBA","KIBAALE","NABWEYO","BUDATU","couple","male","no","no",NA,NA
"1786","MAYUGE","BUKABOOLI","BUKABOOLI","NAMULWANA 'B'","couple","male","yes","yes",NA,NA
"1787","IGANGA","NAMALEMBA","MINANI","NABITENDE","couple","male","no","no",NA,NA
"1788","NAMUTUMBA","MAGADA","KIWANYI","NAWANSEKESE","couple","male","no","no",NA,NA
"1789","IGANGA","MAKUUTU","MAKUUTU","BUNALWENYI A","couple","male","yes","no",NA,NA
"1790","BUGIRI","BULESA","BULUWE","MALENDELE","couple","male","no","no",NA,NA
"1791","NAMAYINGO","BANDA","BUJWANGA","BUDUNGA EAST","couple","male","no","no",NA,NA
"1792","IGANGA","BUYANGA","BUWOOYA","BUYANGA C","couple","male","no","no",NA,NA
"1793","MAYUGE","BUKATUBE","LWANIKA","KASONZI","couple","male","no","no",NA,NA
"1794","NAMUTUMBA","NSINZE","NAWAIKONA","BUKEBWE","couple","male","yes","yes",NA,NA
"1795","NAMUTUMBA","NAMUTUMBA","ITUBA","NAWAMPANDU B","couple","male","no","no",NA,NA
"1796","NAMAYINGO","BANDA","LUTOLO","NANGERA B","couple","male","yes","yes",NA,NA
"1797","NAMUTUMBA","NSINZE","NAWAIKONA","NABIKENGE","couple","male","yes","yes",NA,NA
"1798","NAMUTUMBA","MAGADA","KAGULU","KAWANAMO","couple","male","yes","yes",NA,NA
"1799","NAMUTUMBA","NSINZE","NAWAIKONA","NAWAIKONA ''B'","couple","male","yes","yes",NA,NA
"1800","NAMUTUMBA","KIBAALE","NAWANGISA","KIRANGA A","couple","female","no","no",NA,NA
"1801","BUGIRI","KAPYANGA","NDIFAKULYA","MUGONA SOUTH","couple","female","yes","yes",NA,NA
"1802","BUGIRI","BUWUNGA","BUBUGO","KIRONGO","couple","female","yes","yes",NA,NA
"1803","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","NAKAZINGA","couple","female","yes","yes",NA,NA
"1804","NAMAYINGO","MUTUMBA","LUBIRA","SIMASE","couple","female","no","no",NA,NA
"1805","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","KISEWUZI","couple","female","yes","no",NA,NA
"1806","IGANGA","MAKUUTU","MAKUUTU","BUNALWENYI B","couple","female","yes","yes",NA,NA
"1807","NAMAYINGO","BUSWALE","NANSUMA","BUHWANJA","couple","female","yes","yes",NA,NA
"1808","BUGIRI","BUDHAYA","BUDHAYA","KIWANDANGABO","couple","female","yes","no",NA,NA
"1809","NAMUTUMBA","KIBAALE","NABISOIGI","NAWAIKOKE B","couple","female","yes","yes",NA,NA
"1810","BUGIRI","BUDHAYA","BUKATU","BUBANGO","couple","female","yes","yes",NA,NA
"1811","NAMUTUMBA","NSINZE","BUWONGO","CENTRAL BUNYAGWE","couple","female","no","no",NA,NA
"1812","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","NAMWENDA II","couple","female","yes","yes",NA,NA
"1813","NAMUTUMBA","NSINZE","BUWONGO","MALIGA","couple","female","yes","yes",NA,NA
"1814","NAMUTUMBA","NSINZE","NAWAIKONA","BUTAGALA","couple","female","yes","yes",NA,NA
"1815","NAMUTUMBA","NAMUTUMBA","ITUBA","NAWAMPANDU A","couple","female","yes","yes",NA,NA
"1816","IGANGA","BULAMAGI","IWAWU","NTINDA","couple","female","no","no",NA,NA
"1817","MAYUGE","KITYERERA","NDAIGA","NAKIRIMIRA C","couple","female","no","no",NA,NA
"1818","NAMUTUMBA","MAGADA","KAGULU","NAMUSAYI","couple","female","yes","no",NA,NA
"1819","MAYUGE","BUKATUBE","BUYEMBA","MUGERI B","couple","female","no","no",NA,NA
"1820","NAMAYINGO","MUTUMBA","LUBIRA","BUGALI B","couple","female","no","no",NA,NA
"1821","NAMAYINGO","BANDA","LUGALA","LUGALA A","couple","female","yes","no",NA,NA
"1822","BUGIRI","KAPYANGA","NDIFAKULYA","NDIFAKULYA","couple","female","yes","no",NA,NA
"1823","IGANGA","IBULANKU","NSAALE","WANTE","couple","female","no","no",NA,NA
"1824","MAYUGE","KITYERERA","BUBINGE","BULIDHA","couple","female","yes","yes",NA,NA
"1825","NAMUTUMBA","MAGADA","KAGULU","NAKAWA","couple","female","yes","yes",NA,NA
"1826","MAYUGE","BAITAMBOGWE","IGEYERO","IGEYERO B","couple","female","no","no",NA,NA
"1827","NAMAYINGO","BUYINJA","LWANGOSIA","SIBONDWE","couple","female","yes","yes",NA,NA
"1828","IGANGA","BULAMAGI","IWAWU","NAWANKOFU","couple","female","yes","yes",NA,NA
"1829","NAMUTUMBA","KIBAALE","NABWEYO","NABUGUZI","couple","female","yes","no",NA,NA
"1830","NAMUTUMBA","NAMUTUMBA","NAKYEERE","KASEDHERE A","couple","female","yes","yes",NA,NA
"1831","IGANGA","BUYANGA","BUWOOYA","BUDHUBYE","couple","female","no","no",NA,NA
"1832","IGANGA","BUYANGA","BUWOOYA","BUYANGA B","couple","female","yes","no",NA,NA
"1833","IGANGA","BULAMAGI","IWAWU","KYEMEIRE","couple","female","no","no",NA,NA
"1834","BUGIRI","IWEMBA","IWEMBA","BULYAMBOLI","couple","female","yes","yes",NA,NA
"1835","NAMUTUMBA","KIBAALE","NABISOIGI","NAKYERE II","couple","female","yes","no",NA,NA
"1836","NAMAYINGO","BUYINJA","LWANGOSIA","BULOHA","couple","female","no","no",NA,NA
"1837","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","MPANDE","couple","female","no","no",NA,NA
"1838","IGANGA","MAKUUTU","KASOZI","BUSIMO","couple","female","no","no",NA,NA
"1839","NAMUTUMBA","KIBAALE","NAWANGISA","BUDWAPA B","couple","female","yes","no",NA,NA
"1840","NAMUTUMBA","NSINZE","BUWONGO","BUWONGO B","couple","female","yes","no",NA,NA
"1841","IGANGA","MAKUUTU","KASOZI","BUNAKATE","couple","female","yes","yes",NA,NA
"1842","MAYUGE","KIGANDALO","KIGULU","NAMUGOLO","couple","female","yes","yes",NA,NA
"1843","MAYUGE","IMANYIRO","MAGADA","WANTE","couple","female","no","no",NA,NA
"1844","NAMUTUMBA","MAGADA","KAGULU","NAWAMBIRI","couple","female","no","no",NA,NA
"1845","MAYUGE","IMANYIRO","MAGADA","WALUGOGO","couple","female","no","no",NA,NA
"1846","MAYUGE","BUKATUBE","BUYEMBA","WALUKUBA","couple","female","yes","no",NA,NA
"1847","IGANGA","MAKUUTU","MAKUUTU","BUSWIRIRI","couple","female","no","no",NA,NA
"1848","NAMAYINGO","BANDA","LUGALA","BUDALA A","couple","female","no","no",NA,NA
"1849","BUGIRI","BULUGUYI","MUWAYO","BUDUMA 'A'","couple","female","no","no",NA,NA
"1850","MAYUGE","KIGANDALO","KIGULU","NSUMBA","couple","female","yes","yes",NA,NA
"1851","NAMUTUMBA","KIBAALE","NAWANGISA","NAWANGISA IB","couple","female","no","no",NA,NA
"1852","NAMUTUMBA","MAGADA","KAGULU","IZIMBA","couple","female","no","no",NA,NA
"1853","NAMAYINGO","BUSWALE","NANSUMA","MASODI B","couple","female","yes","no",NA,NA
"1854","NAMUTUMBA","KIBAALE","NABISOIGI","NAWANDYO B","couple","female","yes","no",NA,NA
"1855","MAYUGE","BUKABOOLI","BUKABOOLI","KIKUNYU","couple","female","yes","no",NA,NA
"1856","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","BUKALAMAISO","couple","female","yes","yes",NA,NA
"1857","BUGIRI","BUWUNGA","BUBUGO","NAMBOFA","couple","female","yes","yes",NA,NA
"1858","IGANGA","NAKIGO","WAIRAMA","IZIMBA","couple","female","yes","yes",NA,NA
"1859","MAYUGE","KIGANDALO","KIOGA (MAYENGO)","NABIKOMO","couple","female","no","no",NA,NA
"1860","BUGIRI","KAPYANGA","BUGUBO","BUKONDE A","couple","female","no","no",NA,NA
"1861","NAMUTUMBA","MAGADA","KAGULU","NABWEYO","couple","female","no","no",NA,NA
"1862","BUGIRI","KAPYANGA","BUGUBO","BUSANZI","couple","female","yes","no",NA,NA
"1863","MAYUGE","BUKATUBE","BUYEMBA","MUGERI A","couple","female","yes","yes",NA,NA
"1864","NAMUTUMBA","KIBAALE","NABISOIGI","NAWAIKOKE A","couple","female","no","no",NA,NA
"1865","NAMUTUMBA","KIBAALE","NAWANGISA","BUDWAPA A","couple","female","no","no",NA,NA
"1866","NAMAYINGO","MUTUMBA","LUBIRA","LUFUDU","couple","female","yes","yes",NA,NA
"1867","NAMUTUMBA","NAMUTUMBA","ITUBA","ITUBA C","couple","female","no","no",NA,NA
"1868","BUGIRI","BULUGUYI","MUWAYO","MUWAYO","couple","female","yes","yes",NA,NA
"1869","NAMAYINGO","BUYINJA","LWANGOSIA","LWANGOSIA EAST","couple","female","yes","no",NA,NA
"1870","NAMAYINGO","BANDA","BUJWANGA","BUJWANGA EAST","couple","female","no","no",NA,NA
"1871","IGANGA","MAKUUTU","KASOZI","BUKONDE","couple","female","yes","no",NA,NA
"1872","MAYUGE","KITYERERA","NDAIGA","BUBALULE A","couple","female","yes","no",NA,NA
"1873","NAMUTUMBA","NSINZE","BUWONGO","BUYUNGA","couple","female","yes","yes",NA,NA
"1874","MAYUGE","BUKATUBE","BUYEMBA","BUYEMBA 'A'","couple","female","yes","yes",NA,NA
"1875","NAMUTUMBA","KIBAALE","NABISOIGI","BUGANDA","couple","female","yes","no",NA,NA
"1876","IGANGA","NAKALAMA","NAKALAMA","BUKOBOOLI","couple","female","yes","no",NA,NA
"1877","BUGIRI","BUDHAYA","BUDHAYA","BUDHAYA","couple","female","yes","no",NA,NA
"1878","MAYUGE","BAITAMBOGWE","LUKONE","NAMAGERA","couple","female","no","no",NA,NA
"1879","IGANGA","BUYANGA","BUWOOYA","BUWOOYA B","couple","female","yes","no",NA,NA
"1880","MAYUGE","KIGANDALO","KIGULU","NAMASAKA","couple","female","yes","yes",NA,NA
"1881","MAYUGE","BUKATUBE","BUYEMBA","BUKASERO A","couple","female","yes","no",NA,NA
"1882","MAYUGE","KIGANDALO","KIGULU","BUBBALYA","couple","female","no","no",NA,NA
"1883","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","NAMWENDA III","couple","female","no","no",NA,NA
"1884","MAYUGE","BUKATUBE","LWANIKA","LUKINDU A","couple","female","yes","no",NA,NA
"1885","MAYUGE","BUKABOOLI","BUKABOOLI","KALAGALA A","couple","female","yes","no",NA,NA
"1886","NAMUTUMBA","NSINZE","BUWONGO","SIIRA","couple","female","yes","yes",NA,NA
"1887","NAMUTUMBA","KIBAALE","NABWEYO","NABWEYO CENTRAL","couple","female","yes","yes",NA,NA
"1888","MAYUGE","IMANYIRO","MAGADA","LUYIRA","couple","female","no","no",NA,NA
"1889","NAMAYINGO","BANDA","BUJWANGA","BUJWANGA WEST","couple","female","no","no",NA,NA
"1890","MAYUGE","KIGANDALO","KIGULU","KIREWE","couple","female","yes","yes",NA,NA
"1891","IGANGA","NAKALAMA","NAKALAMA","NAKALAMA NORTH","couple","female","yes","no",NA,NA
"1892","NAMAYINGO","MUTUMBA","LUBIRA","BUGALI A","couple","female","yes","yes",NA,NA
"1893","IGANGA","NAWANDALA","KIWANYI","KIWANYI I","couple","female","no","no",NA,NA
"1894","NAMUTUMBA","MAGADA","KAGULU","LUZINGA","couple","female","yes","yes",NA,NA
"1895","NAMUTUMBA","KIBAALE","NABISOIGI","BWANGU","couple","female","yes","yes",NA,NA
"1896","NAMAYINGO","BANDA","LUTOLO","BUCHUNIA A","couple","female","yes","yes",NA,NA
"1897","MAYUGE","BUKATUBE","LWANIKA","LUKINDU B","couple","female","yes","no",NA,NA
"1898","NAMUTUMBA","NAMUTUMBA","ITUBA","NAMUWONDO A","couple","female","no","no",NA,NA
"1899","MAYUGE","BAITAMBOGWE","LUKONE","LUKONE","couple","female","yes","no",NA,NA
"1900","NAMAYINGO","BANDA","BUJWANGA","HALABA","couple","female","yes","no",NA,NA
"1901","MAYUGE","KITYERERA","BUBINGE","KIKANDWA","couple","female","yes","no",NA,NA
"1902","BUGIRI","BULUGUYI","MUWAYO","BUDUMA 'B'","couple","female","yes","yes",NA,NA
"1903","IGANGA","NAKALAMA","NAKALAMA","BUKYAYE","couple","female","no","no",NA,NA
"1904","MAYUGE","KITYERERA","NDAIGA","NDAIGA C","couple","female","yes","no",NA,NA
"1905","NAMAYINGO","MUTUMBA","LUBIRA","BUSIULA","couple","female","yes","no",NA,NA
"1906","NAMUTUMBA","NSINZE","NAWAIKONA","NABITULUNTU","couple","female","no","no",NA,NA
"1907","NAMUTUMBA","NAMUTUMBA","NAKYEERE","NAKYERE","couple","female","yes","no",NA,NA
"1908","NAMAYINGO","BUSWALE","NANSUMA","MASODI A","couple","female","yes","yes",NA,NA
"1909","NAMUTUMBA","KIBAALE","NABISOIGI","BUYINDA","couple","female","yes","yes",NA,NA
"1910","NAMAYINGO","BANDA","BUJWANGA","NAMBANO","couple","female","no","no",NA,NA
"1911","MAYUGE","BAITAMBOGWE","IGEYERO","MUKUTA","couple","female","no","no",NA,NA
"1912","MAYUGE","KITYERERA","BUBINGE","BUBINGE","couple","female","yes","no",NA,NA
"1913","BUGIRI","BULUGUYI","MUWAYO","MUDAWO","couple","female","yes","no",NA,NA
"1914","BUGIRI","NABUKALU","NKAIZA","KAKOGE","couple","female","yes","yes",NA,NA
"1915","MAYUGE","BUKATUBE","LWANIKA","BUKATUBE B","couple","female","yes","no",NA,NA
"1916","IGANGA","NAWANDALA","KIWANYI","MADHIMASU","couple","female","no","no",NA,NA
"1917","NAMUTUMBA","NAMUTUMBA","NAKYEERE","KASEDHERE B","couple","female","yes","no",NA,NA
"1918","BUGIRI","IWEMBA","IWEMBA","BUKIRI","couple","female","no","no",NA,NA
"1919","MAYUGE","BUKATUBE","LWANIKA","BUDHALA 'A'","couple","female","yes","yes",NA,NA
"1920","IGANGA","BULAMAGI","IWAWU","IWAWU","couple","female","yes","yes",NA,NA
"1921","MAYUGE","KIGANDALO","KIOGA (MAYENGO)","NAKAVULE","couple","female","yes","yes",NA,NA
"1922","BUGIRI","BUWUNGA","BUBUGO","BUBUGO/BULIWAGULU","couple","female","no","no",NA,NA
"1923","NAMUTUMBA","MAGADA","KIWANYI","KATENGELERE","couple","female","yes","no",NA,NA
"1924","MAYUGE","KIGANDALO","KIOGA (MAYENGO)","KIOGA","couple","female","no","no",NA,NA
"1925","NAMUTUMBA","NAMUTUMBA","ITUBA","NAMUWONDO B","couple","female","no","no",NA,NA
"1926","MAYUGE","BAITAMBOGWE","LUKONE","NSINDA","couple","female","yes","yes",NA,NA
"1927","NAMUTUMBA","KIBAALE","NABWEYO","BUGAIZA","couple","female","yes","no",NA,NA
"1928","MAYUGE","BUKABOOLI","BUKABOOLI","KALAGALA B","couple","female","no","no",NA,NA
"1929","NAMUTUMBA","KIBAALE","NABISOIGI","NAWANDYO A","couple","female","yes","no",NA,NA
"1930","BUGIRI","IWEMBA","IWEMBA","BUKANDA","couple","female","no","no",NA,NA
"1931","NAMUTUMBA","NAMUTUMBA","ITUBA","ITUBA A","couple","female","yes","yes",NA,NA
"1932","IGANGA","NAKIGO","BUSOWOOBI","BUSOWOOBI CENTRAL","couple","female","no","no",NA,NA
"1933","NAMUTUMBA","KIBAALE","NAWANGISA","BUNYINKIRA","couple","female","no","no",NA,NA
"1934","MAYUGE","KIGANDALO","KIGULU","KIGULU","couple","female","yes","no",NA,NA
"1935","BUGIRI","BUDHAYA","BUDHAYA","BUKEREKERE","couple","female","yes","no",NA,NA
"1936","MAYUGE","WAIRASA","BUSUYI","BUSUYI","couple","female","yes","yes",NA,NA
"1937","IGANGA","NAMALEMBA","MINANI","NAKAMINI","couple","female","yes","yes",NA,NA
"1938","IGANGA","NAMALEMBA","MINANI","MINANI A","couple","female","no","no",NA,NA
"1939","NAMUTUMBA","NSINZE","BUWONGO","MALIGA TRADING CENTRE","couple","female","no","no",NA,NA
"1940","MAYUGE","KITYERERA","NDAIGA","NAKIRIMIRA B","couple","female","yes","no",NA,NA
"1941","BUGIRI","BULESA","BULUWE","BULUWE","couple","female","yes","no",NA,NA
"1942","BUGIRI","BULESA","BULUWE","BUTEGWA A","couple","female","yes","no",NA,NA
"1943","MAYUGE","BUKATUBE","LWANIKA","BUDHALA 'B'","couple","female","yes","yes",NA,NA
"1944","IGANGA","BUYANGA","BULUNGULI","KIWANYI A","couple","female","yes","yes",NA,NA
"1945","NAMUTUMBA","NSINZE","BUWONGO","BUKOLO","couple","female","no","no",NA,NA
"1946","NAMUTUMBA","NSINZE","NAWAIKONA","BUBINGA","couple","female","yes","yes",NA,NA
"1947","NAMUTUMBA","KIBAALE","NABWEYO","MBOGO","couple","female","yes","yes",NA,NA
"1948","BUGIRI","KAPYANGA","NAMUKONGE","BUGODO A","couple","female","yes","no",NA,NA
"1949","NAMAYINGO","BANDA","LUGALA","BUDALA B","couple","female","yes","yes",NA,NA
"1950","NAMUTUMBA","KIBAALE","NABISOIGI","NKWANZI","couple","female","yes","yes",NA,NA
"1951","NAMUTUMBA","NSINZE","NAWAIKONA","KIVULE","couple","female","no","no",NA,NA
"1952","BUGIRI","KAPYANGA","NDIFAKULYA","MUGONA NORTH","couple","female","yes","yes",NA,NA
"1953","NAMUTUMBA","KIBAALE","NABISOIGI","NABISOIGI II","couple","female","no","no",NA,NA
"1954","NAMUTUMBA","KIBAALE","NAWANGISA","KAKOGE","couple","female","yes","yes",NA,NA
"1955","IGANGA","MAKUUTU","KASOZI","KASOZI A","couple","female","yes","no",NA,NA
"1956","IGANGA","IBULANKU","NSAALE","NAKIBEMBE","couple","female","no","no",NA,NA
"1957","BUGIRI","KAPYANGA","BUGUBO","KAKANDWA","couple","female","no","no",NA,NA
"1958","NAMAYINGO","BANDA","LUTOLO","SIROWA","couple","female","yes","yes",NA,NA
"1959","IGANGA","NAKIGO","BUSOWOOBI","NABITOVU","couple","female","no","no",NA,NA
"1960","NAMAYINGO","BANDA","BUJWANGA","BUSIRO BEACH","couple","female","no","no",NA,NA
"1961","BUGIRI","BUWUNGA","BUBUGO","BUKEREWE","couple","female","yes","yes",NA,NA
"1962","NAMUTUMBA","KIBAALE","NABWEYO","BUNYEKERO","couple","female","yes","no",NA,NA
"1963","MAYUGE","BUKABOOLI","BUKABOOLI","BUKABOOLI","couple","female","no","no",NA,NA
"1964","BUGIRI","BUDHAYA","BUKATU","MAZIRIGA","couple","female","yes","yes",NA,NA
"1965","IGANGA","NAKIGO","WAIRAMA","KAKOMBO","couple","female","yes","yes",NA,NA
"1966","BUGIRI","KAPYANGA","NAMUKONGE","KAYANGO C","couple","female","yes","no",NA,NA
"1967","NAMUTUMBA","NSINZE","BUWONGO","BUWONGO A","couple","female","yes","yes",NA,NA
"1968","IGANGA","NAMALEMBA","MINANI","BUKAKAIRE","couple","female","yes","yes",NA,NA
"1969","IGANGA","MAKUUTU","KASOZI","NAMAVUNDU","couple","female","no","no",NA,NA
"1970","IGANGA","MAKUUTU","KASOZI","KASOZI B","couple","female","yes","no",NA,NA
"1971","IGANGA","MAKUUTU","KASOZI","BUKOWE","couple","female","yes","no",NA,NA
"1972","BUGIRI","KAPYANGA","NAMUKONGE","BUGODO B","couple","female","yes","yes",NA,NA
"1973","MAYUGE","IMANYIRO","MAGADA","MAGADA","couple","female","yes","yes",NA,NA
"1974","NAMAYINGO","BANDA","LUTOLO","BUKOONA","couple","female","yes","yes",NA,NA
"1975","MAYUGE","BUKABOOLI","BUKABOOLI","NAMULWANA 'A'","couple","female","yes","yes",NA,NA
"1976","BUGIRI","BUDHAYA","BUDHAYA","NGULUMO","couple","female","no","no",NA,NA
"1977","NAMUTUMBA","NSINZE","NAWAIKONA","BUKUDUMIRA","couple","female","yes","no",NA,NA
"1978","BUGIRI","KAPYANGA","BUGUBO","BUGUBO","couple","female","yes","yes",NA,NA
"1979","IGANGA","NAKALAMA","NAKALAMA","NAKALAMA SOUTH","couple","female","no","no",NA,NA
"1980","MAYUGE","KITYERERA","NDAIGA","NDAIGA A","couple","female","no","no",NA,NA
"1981","BUGIRI","BUDHAYA","BUKATU","BUDIBYA","couple","female","yes","no",NA,NA
"1982","NAMAYINGO","BANDA","LUGALA","LUGALA B","couple","female","yes","yes",NA,NA
"1983","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","BUDUMBA","couple","female","no","no",NA,NA
"1984","MAYUGE","BUKATUBE","LWANIKA","LWANIKA B","couple","female","yes","yes",NA,NA
"1985","MAYUGE","KIGANDALO","KIOGA (MAYENGO)","LUKUNYU","couple","female","yes","no",NA,NA
"1986","NAMAYINGO","BUYINJA","LWANGOSIA","BUGAYA","couple","female","yes","yes",NA,NA
"1987","BUGIRI","BUDHAYA","BUKATU","KAWOLOGOMA","couple","female","no","no",NA,NA
"1988","MAYUGE","IMANYIRO","MAGADA","NAMAKAKALE","couple","female","no","no",NA,NA
